Unnamed: 0,space,seed,hier_ratio,hier_pval,dataset,feature,n_subjects,source_file,n_subjects_plot,n_subjects_label,num_classes
0,Raw,0,2.004415219681646,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
1,Trait_LDA,0,0.9794632745973386,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
2,State_LDA,0,2.1601345988813727,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
3,Joint_LDA,0,2.231417245686212,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
4,Raw,1,4.062122495880745,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
5,Trait_LDA,1,0.5006070637470478,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
6,State_LDA,1,0.8705383427710419,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
7,Joint_LDA,1,1.701216449551966,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
8,Raw,2,2.3495571043850787,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
9,Trait_LDA,2,1.4102639543812392,0.385,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
10,State_LDA,2,2.9103077831019446,0.161,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
11,Joint_LDA,2,2.6412797518651554,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
12,Raw,3,3.8694354165142815,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
13,Trait_LDA,3,3.3012077115478013,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
14,State_LDA,3,0.3088583578495799,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
15,Joint_LDA,3,1.377673025249908,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
16,Raw,4,3.580287675257413,0.0,lemon,complexity,4,/home1/amadapur/projects/eeg_trait_state_geometry/results/lemon/complexity/hierarchy/hierarchy_results_n4_2_complexityclasses.csv,4.0,4,2
