dataset,feature,space,n_subjects,n_subjects_plot,n_subjects_label,num_classes,mean_hierarchy,std_hierarchy,n_seeds,mean_pval,sem_hierarchy
gamma,complexity,Joint_LDA,4,4.0,4,4,8.580963373788867,3.127705642794148,10,0.0,0.9890673681790514
gamma,complexity,Joint_LDA,7,7.0,7,4,5.8814168239578235,0.8897679977007195,10,0.0,0.2813693461861735
gamma,complexity,Joint_LDA,10,10.0,10,4,9.543329342110464,1.9157438132972995,10,0.0,0.6058113863395832
gamma,complexity,Joint_LDA,14,14.0,14,4,7.87726314477977,0.0,1,0.0,0.0
gamma,complexity,Raw,4,4.0,4,4,5.813858990699283,2.0736795755841917,10,0.0,0.6557550596217335
gamma,complexity,Raw,7,7.0,7,4,4.7077535701715885,0.6353957187072109,10,0.0,0.20092976866344445
gamma,complexity,Raw,10,10.0,10,4,10.922402739805957,0.6678179243964649,10,0.0,0.21118257033789567
gamma,complexity,Raw,14,14.0,14,4,4.78670825663708,0.0,1,0.0,0.0
gamma,complexity,State_LDA,4,4.0,4,4,6.477977467128459,2.213555423248031,10,0.0,0.6999876864481809
gamma,complexity,State_LDA,7,7.0,7,4,5.082103881662225,1.9460987246059689,10,0.0,0.615410452130363
gamma,complexity,State_LDA,10,10.0,10,4,5.204061930308662,1.2582323820982773,10,0.0,0.3978880153209826
gamma,complexity,State_LDA,14,14.0,14,4,1.0003313634316082,0.0,1,0.0,0.0
gamma,complexity,Trait_LDA,4,4.0,4,4,13.455269463402505,5.549266555678597,10,0.0,1.7548321659341952
gamma,complexity,Trait_LDA,7,7.0,7,4,7.455621201446553,1.7851778292601754,10,0.0,0.5645227968897334
gamma,complexity,Trait_LDA,10,10.0,10,4,10.206682843380928,2.0202648338770905,10,0.0,0.6388638351793305
gamma,complexity,Trait_LDA,14,14.0,14,4,10.018453864021025,0.0,1,0.0,0.0
gamma,entropy,Joint_LDA,4,4.0,4,4,6.361657082500683,2.9981386106767505,10,0.0,0.9480946750631349
gamma,entropy,Joint_LDA,7,7.0,7,4,6.701723593965722,1.6853769563472656,10,0.0,0.5329629898019536
gamma,entropy,Joint_LDA,10,10.0,10,4,9.638119599050478,3.394252876805693,10,0.0,1.0733570045284897
gamma,entropy,Joint_LDA,14,14.0,14,4,4.387387574671495,0.0,1,0.0,0.0
gamma,entropy,Raw,4,4.0,4,4,7.859498150120695,3.9067196743635986,10,0.0,1.2354132350780294
gamma,entropy,Raw,7,7.0,7,4,4.121458082405498,0.37643681906059373,10,0.0,0.11903977433801619
gamma,entropy,Raw,10,10.0,10,4,6.268255991439594,1.1688559708922157,10,0.0,0.3696247124706875
gamma,entropy,Raw,14,14.0,14,4,3.8008519316670304,0.0,1,0.0,0.0
gamma,entropy,State_LDA,4,4.0,4,4,4.1966817299747134,2.613371901758978,10,0.0,0.8264207582644169
gamma,entropy,State_LDA,7,7.0,7,4,5.065290326180337,2.374971550807531,10,0.0,0.7510319478654106
gamma,entropy,State_LDA,10,10.0,10,4,3.8617699057452386,1.038603832226937,10,0.0,0.32843536964165104
gamma,entropy,State_LDA,14,14.0,14,4,0.4283321614021484,0.0,1,0.0,0.0
gamma,entropy,Trait_LDA,4,4.0,4,4,10.65688884456494,5.166739585042119,10,0.0,1.6338665165686335
gamma,entropy,Trait_LDA,7,7.0,7,4,9.933933617321877,3.941714565128193,10,0.0,1.24647959120652
gamma,entropy,Trait_LDA,10,10.0,10,4,10.498456859587165,3.8640000561593673,10,0.0,1.221904105648213
gamma,entropy,Trait_LDA,14,14.0,14,4,16.211669371193707,0.0,1,0.0,0.0
gamma,psd,Joint_LDA,4,4.0,4,4,4.393193244518882,2.0359183181572122,10,0.0,0.6438139015436131
gamma,psd,Joint_LDA,7,7.0,7,4,4.268203328483008,1.1600862683866235,10,0.0,0.36685148903871184
gamma,psd,Joint_LDA,10,10.0,10,4,2.8210371895616126,0.23536991112697284,10,0.0,0.0744305011832643
gamma,psd,Joint_LDA,14,14.0,14,4,1.743162930332002,0.0,1,0.0,0.0
gamma,psd,Raw,4,4.0,4,4,4.654830364375973,1.6972036092976872,10,0.0,0.5367029058439218
gamma,psd,Raw,7,7.0,7,4,3.132972767841251,0.6776005499660621,10,0.0,0.21427610816754858
gamma,psd,Raw,10,10.0,10,4,3.678127769367111,0.5145619642443605,10,0.0,0.16271878043023016
gamma,psd,Raw,14,14.0,14,4,2.17437702023062,0.0,1,0.0,0.0
gamma,psd,State_LDA,4,4.0,4,4,2.971984585736324,1.7282536958381092,10,0.00030000000000000003,0.546521805345229
gamma,psd,State_LDA,7,7.0,7,4,2.9625519580125053,0.49916790349979506,10,0.0,0.15785075099104873
gamma,psd,State_LDA,10,10.0,10,4,2.8610799106396057,0.4609443989658891,10,0.0,0.14576341754295716
gamma,psd,State_LDA,14,14.0,14,4,0.829603370028551,0.0,1,0.0,0.0
gamma,psd,Trait_LDA,4,4.0,4,4,6.452346684124704,5.678909033505848,10,0.0001,1.7958287170783944
gamma,psd,Trait_LDA,7,7.0,7,4,5.166048323170996,1.5041060290824364,10,0.0,0.4756400894291959
gamma,psd,Trait_LDA,10,10.0,10,4,2.8893233469586495,0.25750300424367445,10,0.0,0.0814295997746015
gamma,psd,Trait_LDA,14,14.0,14,4,3.263731421238733,0.0,1,0.0,0.0
lee,psd,Joint_LDA,10,10.0,10,2,10.07419178659968,5.257749600001556,10,0.0,1.662646410284415
lee,psd,Joint_LDA,20,20.0,20,2,9.132534182660395,2.287441696981922,10,0.0,0.7233525777303578
lee,psd,Joint_LDA,all,54.0,all (54),2,7.44759924471182,0.0,1,0.0,0.0
lee,psd,Raw,10,10.0,10,2,7.383680569739369,2.8181673463818435,10,0.0,0.8911827642079306
lee,psd,Raw,20,20.0,20,2,8.347416451827744,2.1510753683978803,10,0.0,0.6802297582823083
lee,psd,Raw,all,54.0,all (54),2,7.062668234143469,0.0,1,0.0,0.0
lee,psd,State_LDA,10,10.0,10,2,8.86936200427072,8.967015439488206,10,0.1597,2.8356192602678494
lee,psd,State_LDA,20,20.0,20,2,11.914763964162354,7.654883913672993,10,0.0,2.42068683913904
lee,psd,State_LDA,all,54.0,all (54),2,2.702003800407762,0.0,1,0.0,0.0
lee,psd,Trait_LDA,10,10.0,10,2,11.631849380432413,5.884288071336444,10,0.0,1.8607752713982515
lee,psd,Trait_LDA,20,20.0,20,2,9.142275902147528,2.3075615150423423,10,0.0,0.7297150228482698
lee,psd,Trait_LDA,all,54.0,all (54),2,7.479777788778006,0.0,1,0.0,0.0
lemon,complexity,Joint_LDA,4,4.0,4,2,1.7099925299433143,0.5574212745421171,10,0.0,0.17627208437871217
lemon,complexity,Joint_LDA,10,10.0,10,2,1.3764282598863429,0.19523178698190463,10,0.0,0.06173771185276288
lemon,complexity,Joint_LDA,20,20.0,20,2,1.537188895452599,0.1750598132457731,10,0.0,0.05535877366203568
lemon,complexity,Joint_LDA,all,156.0,all (156),2,1.485278873421748,0.0,1,0.0,0.0
lemon,complexity,Raw,4,4.0,4,2,2.4459532448480976,1.1638424609441114,10,0.0,0.36803930141989527
lemon,complexity,Raw,10,10.0,10,2,1.2996295100622417,0.4849334860518128,10,0.0,0.15334943296092218
lemon,complexity,Raw,20,20.0,20,2,1.3920765674765696,0.23006384779058028,10,0.0,0.07275257662805304
lemon,complexity,Raw,all,156.0,all (156),2,1.395408330949882,0.0,1,0.0,0.0
lemon,complexity,State_LDA,4,4.0,4,2,1.4726315201283557,0.9385266557518129,10,0.0186,0.2967881876956497
lemon,complexity,State_LDA,10,10.0,10,2,0.9406945762788343,0.17221737889945002,10,0.0364,0.0544599169986484
lemon,complexity,State_LDA,20,20.0,20,2,1.2050221020284837,0.4422520974883126,10,0.0,0.13985239280498993
lemon,complexity,State_LDA,all,156.0,all (156),2,0.8987768595404707,0.0,1,0.0,0.0
lemon,complexity,Trait_LDA,4,4.0,4,2,1.6416464729870814,1.0884713449233612,10,0.039,0.34420486177845755
lemon,complexity,Trait_LDA,10,10.0,10,2,1.5015911457251316,0.2577366872007379,10,0.0,0.08150349681406989
lemon,complexity,Trait_LDA,20,20.0,20,2,1.6340649324313758,0.1509903638316938,10,0.0,0.047747345444566096
lemon,complexity,Trait_LDA,all,156.0,all (156),2,1.742393904541684,0.0,1,0.0,0.0
lemon,entropy,Joint_LDA,4,4.0,4,2,2.012958578790367,1.1729518142744029,10,0.0,0.3709199318733914
lemon,entropy,Joint_LDA,10,10.0,10,2,1.627907673057841,0.44557036910162506,10,0.0,0.1409017224243048
lemon,entropy,Joint_LDA,20,20.0,20,2,1.625978334868479,0.23053205815809205,10,0.0,0.0729006377465972
lemon,entropy,Joint_LDA,all,156.0,all (156),2,1.5392153394853567,0.0,1,0.0,0.0
lemon,entropy,Raw,4,4.0,4,2,2.1775697442076156,1.5769807540367067,10,0.0,0.49868510090057633
lemon,entropy,Raw,10,10.0,10,2,1.2279762756438997,0.3917394977338368,10,0.0,0.12387890622892936
