,space,seed,hier_ratio,hier_pval
0,Raw,0,4.054956001118471,0.0
1,Trait_LDA,0,5.989535695927596,0.0
2,State_LDA,0,3.5356191098646073,0.0
3,Joint_LDA,0,4.998760680617036,0.0
4,Raw,1,4.7645585048551835,0.0
5,Trait_LDA,1,8.988181828801904,0.0
6,State_LDA,1,3.793146591079802,0.0
7,Joint_LDA,1,6.306191589048069,0.0
8,Raw,2,3.6164748102326216,0.0
9,Trait_LDA,2,14.03517597730259,0.0
10,State_LDA,2,8.574491550446854,0.0
11,Joint_LDA,2,6.934178308604017,0.0
12,Raw,3,3.8770209487367295,0.0
13,Trait_LDA,3,14.131623462099437,0.0
14,State_LDA,3,9.053699567843081,0.0
15,Joint_LDA,3,7.733893586365505,0.0
16,Raw,4,3.7794688536959944,0.0
17,Trait_LDA,4,4.772079765871147,0.0
18,State_LDA,4,2.7269320781285877,0.0
19,Joint_LDA,4,4.412785421051945,0.0
20,Raw,5,4.350488930427317,0.0
21,Trait_LDA,5,8.047690683512629,0.0
22,State_LDA,5,5.3223809817510634,0.0
23,Joint_LDA,5,6.2223142313466075,0.0
24,Raw,6,4.1983849137772165,0.0
25,Trait_LDA,6,7.673677255825321,0.0
26,State_LDA,6,2.2878276818623804,0.0
27,Joint_LDA,6,5.450115049372388,0.0
28,Raw,7,3.734806473950409,0.0
29,Trait_LDA,7,6.77444068544613,0.0
30,State_LDA,7,5.2498294573708595,0.0
31,Joint_LDA,7,6.238460304245156,0.0
32,Raw,8,4.56141057135844,0.0
33,Trait_LDA,8,15.606574016820002,0.0
34,State_LDA,8,3.426350862162144,0.0
35,Joint_LDA,8,9.39626906973994,0.0
36,Raw,9,4.277010815902596,0.0
37,Trait_LDA,9,13.32035680161202,0.0
38,State_LDA,9,6.682625381293985,0.0
39,Joint_LDA,9,9.324267699266564,0.0
