,space,seed,hier_ratio,hier_pval
0,Raw,0,4.337572893147804,0.0
1,Trait_LDA,0,3.29426953465596,0.0
2,State_LDA,0,2.1647232130892307,0.0
3,Joint_LDA,0,3.1891963752974912,0.0
4,Raw,1,4.06693490843148,0.0
5,Trait_LDA,1,2.8438498863591493,0.0
6,State_LDA,1,2.867582975490338,0.0
7,Joint_LDA,1,2.811876543379837,0.0
8,Raw,2,3.419799606207976,0.0
9,Trait_LDA,2,2.763165827459957,0.0
10,State_LDA,2,2.774389297208871,0.0
11,Joint_LDA,2,2.751303796895659,0.0
12,Raw,3,3.1673722281232126,0.0
13,Trait_LDA,3,2.9291471577301227,0.0
14,State_LDA,3,2.534351642652631,0.0
15,Joint_LDA,3,2.965952320969828,0.0
16,Raw,4,3.7322550293319505,0.0
17,Trait_LDA,4,2.766768767411399,0.0
18,State_LDA,4,3.398540677452707,0.0
19,Joint_LDA,4,2.5683829250844226,0.0
20,Raw,5,4.147457155890602,0.0
21,Trait_LDA,5,3.1292482408119775,0.0
22,State_LDA,5,2.8955637106709506,0.0
23,Joint_LDA,5,2.8325011691092663,0.0
24,Raw,6,4.352099366606692,0.0
25,Trait_LDA,6,2.9382974748844246,0.0
26,State_LDA,6,3.5919855028692163,0.0
27,Joint_LDA,6,2.8610749362062005,0.0
28,Raw,7,3.1170991130323817,0.0
29,Trait_LDA,7,2.321466977747281,0.0
30,State_LDA,7,2.7512771832988334,0.0
31,Joint_LDA,7,2.3342967552022844,0.0
32,Raw,8,3.050050721417137,0.0
33,Trait_LDA,8,2.8921234598675842,0.0
34,State_LDA,8,2.3300631033659522,0.0
35,Joint_LDA,8,2.913016801564163,0.0
36,Raw,9,3.3906366714818725,0.0
37,Trait_LDA,9,3.014896142658639,0.0
38,State_LDA,9,3.3023218002973276,0.0
39,Joint_LDA,9,2.982770271906976,0.0
