,space,seed,hier_ratio,hier_pval
0,Raw,0,,0.0
1,Trait_LDA,0,,0.0
2,State_LDA,0,,0.0
3,Joint_LDA,0,,0.0
4,Raw,1,,0.0
5,Trait_LDA,1,,0.0
6,State_LDA,1,,0.0
7,Joint_LDA,1,,0.0
8,Raw,2,,0.0
9,Trait_LDA,2,,0.0
10,State_LDA,2,,0.0
11,Joint_LDA,2,,0.0
12,Raw,3,,0.0
13,Trait_LDA,3,,0.0
14,State_LDA,3,,0.0
15,Joint_LDA,3,,0.0
16,Raw,4,,0.0
17,Trait_LDA,4,,0.0
18,State_LDA,4,,0.0
19,Joint_LDA,4,,0.0
20,Raw,5,,0.0
21,Trait_LDA,5,,0.0
22,State_LDA,5,,0.0
23,Joint_LDA,5,,0.0
24,Raw,6,,0.0
25,Trait_LDA,6,,0.0
26,State_LDA,6,,0.0
27,Joint_LDA,6,,0.0
28,Raw,7,,0.0
29,Trait_LDA,7,,0.0
30,State_LDA,7,,0.0
31,Joint_LDA,7,,0.0
32,Raw,8,,0.0
33,Trait_LDA,8,,0.0
34,State_LDA,8,,0.0
35,Joint_LDA,8,,0.0
36,Raw,9,,0.0
37,Trait_LDA,9,,0.0
38,State_LDA,9,,0.0
39,Joint_LDA,9,,0.0
