,space,seed,hier_ratio,hier_pval
0,Raw,0,1.1937869687055715,0.0
1,Trait_LDA,0,1.6439210230708357,0.0
2,State_LDA,0,1.3177866708447126,0.0
3,Joint_LDA,0,1.612591825051523,0.0
4,Raw,1,1.4715815553390634,0.0
5,Trait_LDA,1,1.7467068646733035,0.0
6,State_LDA,1,1.0865853622589021,0.0
7,Joint_LDA,1,1.7347079892963573,0.0
8,Raw,2,1.13065095895647,0.0
9,Trait_LDA,2,1.5181688204049606,0.0
10,State_LDA,2,1.2836968241776097,0.0
11,Joint_LDA,2,1.5282708859329246,0.0
12,Raw,3,1.2033577457223337,0.0
13,Trait_LDA,3,1.6813771294705453,0.0
14,State_LDA,3,1.6614898420635997,0.0
15,Joint_LDA,3,1.69585619165199,0.0
16,Raw,4,1.5302286639148952,0.0
17,Trait_LDA,4,1.939992144505375,0.0
18,State_LDA,4,1.9095136336694243,0.0
19,Joint_LDA,4,1.961477667079201,0.0
20,Raw,5,1.2567488893347936,0.0
21,Trait_LDA,5,1.4494797258544483,0.0
22,State_LDA,5,0.9944432427461182,0.0
23,Joint_LDA,5,1.3051266251582594,0.0
24,Raw,6,1.0341435023770558,0.0
25,Trait_LDA,6,1.6018849291790342,0.0
26,State_LDA,6,1.0518813634235293,0.0
27,Joint_LDA,6,1.5277362342354726,0.0
28,Raw,7,1.1526753710640645,0.0
29,Trait_LDA,7,1.3474204296583745,0.0
30,State_LDA,7,0.9588913735325904,0.0
31,Joint_LDA,7,1.3116364522924808,0.0
32,Raw,8,1.0597852746066265,0.0
33,Trait_LDA,8,2.0568108934372624,0.0
34,State_LDA,8,1.4617382576615974,0.0
35,Joint_LDA,8,1.9826534491088295,0.0
36,Raw,9,1.1349260745477616,0.0
37,Trait_LDA,9,1.699687227287073,0.0
38,State_LDA,9,1.0645575695199097,0.428
39,Joint_LDA,9,1.5997260288777548,0.0
