,space,seed,hier_ratio,hier_pval
0,Raw,0,5.0626391687474115,0.0
1,Trait_LDA,0,5.0198283614304575,0.0
2,State_LDA,0,1.6572722637785646,0.0
3,Joint_LDA,0,5.0614718551152205,0.0
4,Raw,1,5.463528820404807,0.0
5,Trait_LDA,1,5.819064647638115,0.0
6,State_LDA,1,1.7318828542718507,0.0
7,Joint_LDA,1,5.926587966509111,0.0
8,Raw,2,5.248291157695939,0.0
9,Trait_LDA,2,5.669162740249075,0.0
10,State_LDA,2,1.8118592768271502,0.0
11,Joint_LDA,2,5.729142477220725,0.0
12,Raw,3,5.725162290647062,0.0
13,Trait_LDA,3,5.9551280362386665,0.0
14,State_LDA,3,1.9063870396516753,0.0
15,Joint_LDA,3,6.030789394863088,0.0
16,Raw,4,5.500450039267347,0.0
17,Trait_LDA,4,5.667770120989172,0.0
18,State_LDA,4,1.731374700247664,0.0
19,Joint_LDA,4,5.7082052062855615,0.0
20,Raw,5,5.261240010293839,0.0
21,Trait_LDA,5,5.312701399256942,0.0
22,State_LDA,5,1.82667566461263,0.0
23,Joint_LDA,5,5.411978286237613,0.0
24,Raw,6,5.848398102926596,0.0
25,Trait_LDA,6,6.084485141630462,0.0
26,State_LDA,6,1.972184150066968,0.0
27,Joint_LDA,6,5.9846231087083055,0.0
28,Raw,7,5.902108636510949,0.0
29,Trait_LDA,7,5.920297489199601,0.0
30,State_LDA,7,1.9392713494065403,0.0
31,Joint_LDA,7,6.081923188798123,0.0
32,Raw,8,5.556937669758217,0.0
33,Trait_LDA,8,5.675161454905924,0.0
34,State_LDA,8,1.9436640318830314,0.0
35,Joint_LDA,8,5.7832352677840255,0.0
36,Raw,9,5.510445145706377,0.0
37,Trait_LDA,9,5.802667763482288,0.0
38,State_LDA,9,1.7371676295153413,0.0
39,Joint_LDA,9,5.687212445151667,0.0
