,space,seed,hier_ratio,hier_pval
0,Raw,0,3.756464889877914,0.0
1,Trait_LDA,0,6.261010221198047,0.0
2,State_LDA,0,1.4882117912042063,0.0
3,Joint_LDA,0,5.261191397737556,0.0
4,Raw,1,3.340555599313559,0.0
5,Trait_LDA,1,5.420459449928895,0.0
6,State_LDA,1,1.5624134255308115,0.0
7,Joint_LDA,1,4.830298022381987,0.0
8,Raw,2,3.2165924773309946,0.0
9,Trait_LDA,2,5.489636941549881,0.0
10,State_LDA,2,1.526530244199088,0.0
11,Joint_LDA,2,5.050721859261409,0.0
12,Raw,3,3.340420143887661,0.0
13,Trait_LDA,3,4.962139717451364,0.0
14,State_LDA,3,1.2966003825446788,0.0
15,Joint_LDA,3,4.377541617962238,0.0
16,Raw,4,2.673113911242705,0.0
17,Trait_LDA,4,3.5087209939564503,0.0
18,State_LDA,4,1.3952434615227327,0.0
19,Joint_LDA,4,3.2251510946283224,0.0
20,Raw,5,3.31350237005551,0.0
21,Trait_LDA,5,5.324010530801917,0.0
22,State_LDA,5,1.4564093841834396,0.0
23,Joint_LDA,5,4.809299434191025,0.0
24,Raw,6,3.156289264588572,0.0
25,Trait_LDA,6,4.935482607768574,0.0
26,State_LDA,6,1.428710446422573,0.0
27,Joint_LDA,6,4.28038997900903,0.0
28,Raw,7,2.9887375454999967,0.0
29,Trait_LDA,7,4.381954356549314,0.0
30,State_LDA,7,1.445213944675831,0.0
31,Joint_LDA,7,4.334593531270635,0.0
32,Raw,8,3.124424324541429,0.0
33,Trait_LDA,8,4.9579059351027155,0.0
34,State_LDA,8,1.4715967933546328,0.0
35,Joint_LDA,8,4.4184451397749465,0.0
36,Raw,9,3.272391181815205,0.0
37,Trait_LDA,9,5.952028522688067,0.0
38,State_LDA,9,1.5747001084202703,0.0
39,Joint_LDA,9,5.160660453084489,0.0
