num_subjects,seed,split_type,subject,space,Bal_Acc,F1,Kappa
10,0,trait,,Raw,0.7925,0.7890851537455026,0.7693778432191284
10,0,trait,,Trait_LDA,0.7766666666666666,0.7733032328538938,0.751906467705426
10,0,trait,,State_LDA,0.159375,0.0643222506393862,0.06643356643356657
10,0,trait,,Joint_LDA,0.708125,0.6922617744077421,0.6750752598387131
10,1,trait,,Raw,0.7960416666666668,0.7913859501501463,0.7728821008680364
10,1,trait,,Trait_LDA,0.795625,0.7926771173402617,0.7728671267197047
10,1,trait,,State_LDA,0.1375,0.06440966010733454,0.04195804195804176
10,1,trait,,Joint_LDA,0.7262500000000001,0.7163161408874952,0.6959713400294512
10,2,trait,,Raw,0.7877083333333333,0.7892149109698333,0.7643523362197538
10,2,trait,,Trait_LDA,0.7685416666666667,0.771403764491783,0.743238129160081
10,2,trait,,State_LDA,0.135,0.06800805569125483,0.038083811047416094
10,2,trait,,Joint_LDA,0.7345833333333334,0.7303957312659928,0.7045874418501125
10,3,trait,,Raw,0.8485416666666665,0.8486124807312011,0.8312341448217544
10,3,trait,,Trait_LDA,0.8324999999999999,0.8333084489529285,0.8136460744169485
10,3,trait,,State_LDA,0.12250000000000001,0.0504373292156828,0.02371585428196743
10,3,trait,,Joint_LDA,0.7693749999999999,0.7624152532748509,0.743306701088287
10,4,trait,,Raw,0.7270833333333334,0.726530525408917,0.6960114273156794
10,4,trait,,Trait_LDA,0.72375,0.7214912874261199,0.6925105485232066
10,4,trait,,State_LDA,0.16041666666666665,0.07876910574466474,0.06530084011494008
10,4,trait,,Joint_LDA,0.683125,0.6742153616791481,0.6470782146232117
10,5,trait,,Raw,0.8454166666666667,0.8435726698068094,0.827683678693049
10,5,trait,,Trait_LDA,0.8291666666666668,0.8294283276195082,0.8100834724540902
10,5,trait,,State_LDA,0.145,0.061597996263127376,0.04865801635264855
10,5,trait,,Joint_LDA,0.7758333333333334,0.7707874719718856,0.7503227242377031
10,6,trait,,Raw,0.7804166666666668,0.7808589835581912,0.7554007428081665
10,6,trait,,Trait_LDA,0.7772916666666667,0.7779547831398513,0.7519119198312236
10,6,trait,,State_LDA,0.13125,0.054907726296038496,0.034965034965035
10,6,trait,,Joint_LDA,0.7645833333333334,0.7595824064750463,0.7379236077535054
10,7,trait,,Raw,0.8208333333333334,0.8184682644821095,0.8008350730688936
10,7,trait,,Trait_LDA,0.8208333333333334,0.8178440912615411,0.800839449742891
10,7,trait,,State_LDA,0.13125,0.054316852737905374,0.034965034965035
10,7,trait,,Joint_LDA,0.7802083333333334,0.7727048402433582,0.7554168681053047
10,8,trait,,Raw,0.79125,0.7911050709693412,0.7679004651783926
10,8,trait,,Trait_LDA,0.781875,0.7821399419255306,0.7573450854700855
10,8,trait,,State_LDA,0.13229166666666664,0.055627906976744176,0.03376761499601155
10,8,trait,,Joint_LDA,0.7537499999999999,0.7517508776906777,0.7257127595646657
10,9,trait,,Raw,0.8039583333333333,0.803183628923876,0.7819719563765858
10,9,trait,,Trait_LDA,0.8074999999999999,0.8063497236703391,0.7855171799893181
10,9,trait,,State_LDA,0.15812500000000002,0.07682174820902236,0.06179513881195575
10,9,trait,,Joint_LDA,0.749375,0.7447068656392234,0.7221467844979188
4,0,trait,,Raw,0.8515625,0.8515973274037791,0.8020833333333334
4,0,trait,,Trait_LDA,0.8671875,0.8662184008088015,0.8229166666666666
4,0,trait,,State_LDA,0.34375,0.2664929650859823,0.125
4,0,trait,,Joint_LDA,0.8671875,0.8662184008088015,0.8229166666666666
4,1,trait,,Raw,0.765625,0.7691860752963227,0.6875
4,1,trait,,Trait_LDA,0.7734375,0.7746322895100068,0.6979166666666667
4,1,trait,,State_LDA,0.3671875,0.27004805986517433,0.15625
4,1,trait,,Joint_LDA,0.7734375,0.7758638962016876,0.6979166666666667
4,2,trait,,Raw,0.875,0.8690161962220786,0.8307873090481787
4,2,trait,,Trait_LDA,0.8822916666666667,0.879229318994149,0.8413364674278039
4,2,trait,,State_LDA,0.3130208333333333,0.21023809523809522,0.08283132530120485
4,2,trait,,Joint_LDA,0.8822916666666667,0.879229318994149,0.8413364674278039
4,3,trait,,Raw,0.9140625,0.914648655160989,0.8854166666666666
4,3,trait,,Trait_LDA,0.9140625,0.9141537058371736,0.8854166666666666
4,3,trait,,State_LDA,0.3671875,0.24586956521739128,0.15625
4,3,trait,,Joint_LDA,0.90625,0.9069427316587698,0.875
4,4,trait,,Raw,0.890625,0.890075146627566,0.8541666666666666
4,4,trait,,Trait_LDA,0.8828125,0.881589798521151,0.84375
4,4,trait,,State_LDA,0.3515625,0.23933220147142048,0.13541666666666663
4,4,trait,,Joint_LDA,0.8828125,0.881589798521151,0.84375
4,5,trait,,Raw,0.8515625,0.8505495359739763,0.8020833333333334
4,5,trait,,Trait_LDA,0.875,0.8731563347854332,0.8333333333333334
4,5,trait,,State_LDA,0.390625,0.30246913580246915,0.1875
4,5,trait,,Joint_LDA,0.8828125,0.8814685314685315,0.84375
4,6,trait,,Raw,0.8984375,0.8980187655086849,0.8645833333333334
4,6,trait,,Trait_LDA,0.8984375,0.8980187655086849,0.8645833333333334
4,6,trait,,State_LDA,0.3125,0.23209633709240318,0.08333333333333337
4,6,trait,,Joint_LDA,0.8984375,0.8980187655086849,0.8645833333333334
4,7,trait,,Raw,0.9453125,0.9450488523573202,0.9270833333333334
4,7,trait,,Trait_LDA,0.9375,0.9376611548742697,0.9166666666666666
4,7,trait,,State_LDA,0.3203125,0.2517806267806268,0.09375
4,7,trait,,Joint_LDA,0.9453125,0.9452275533869461,0.9270833333333334
4,8,trait,,Raw,0.9765625,0.9766752344877345,0.96875
4,8,trait,,Trait_LDA,0.9609375,0.9608058608058608,0.9479166666666666
4,8,trait,,State_LDA,0.265625,0.2353026440745739,0.02083333333333337
4,8,trait,,Joint_LDA,0.953125,0.9526093362282879,0.9375
4,9,trait,,Raw,0.9677083333333334,0.9680526370181542,0.9576470588235294
4,9,trait,,Trait_LDA,0.9677083333333334,0.9682746105188953,0.9576470588235294
4,9,trait,,State_LDA,0.33697916666666666,0.26383464919174454,0.11282481139983236
4,9,trait,,Joint_LDA,0.9760416666666667,0.9762762843134631,0.9682406318265838
8,0,trait,,Raw,0.77734375,0.7734574805019994,0.7455357142857143
8,0,trait,,Trait_LDA,0.78125,0.7769704073501094,0.75
8,0,trait,,State_LDA,0.14453125,0.06871590665810319,0.022321428571428603
8,0,trait,,Joint_LDA,0.7734375,0.7687330361734678,0.7410714285714286
8,1,trait,,Raw,0.8138020833333334,0.8116486624820243,0.7867636468385424
8,1,trait,,Trait_LDA,0.8140625,0.8134626802469422,0.7867713246678428
8,1,trait,,State_LDA,0.16484375,0.0761488373972651,0.04463130659767134
8,1,trait,,Joint_LDA,0.8182291666666667,0.8172733822092941,0.7913231323132313
8,2,trait,,Raw,0.8197916666666667,0.8154318544047028,0.7930203720106289
8,2,trait,,Trait_LDA,0.7927083333333333,0.7905106047498149,0.7615234720992028
8,2,trait,,State_LDA,0.14869791666666665,0.05863515449150808,0.026149333898724425
8,2,trait,,Joint_LDA,0.7770833333333333,0.7705617579368147,0.7435161564625851
8,3,trait,,Raw,0.83984375,0.8397592690687449,0.8169642857142857
8,3,trait,,Trait_LDA,0.82421875,0.8258797250904758,0.7991071428571428
8,3,trait,,State_LDA,0.15234375,0.07675306641981022,0.03125
8,3,trait,,Joint_LDA,0.82421875,0.8267596208083018,0.7991071428571428
8,4,trait,,Raw,0.7885416666666667,0.7833237674683894,0.7570239149689991
8,4,trait,,Trait_LDA,0.784375,0.777644373135656,0.7525068206781703
8,4,trait,,State_LDA,0.18098958333333331,0.07882300077280023,0.061919066972963344
8,4,trait,,Joint_LDA,0.78046875,0.7754795463798219,0.7480337277687239
8,5,trait,,Raw,0.7763020833333334,0.7721627573062235,0.7434888912511959
8,5,trait,,Trait_LDA,0.7802083333333334,0.7768270286689225,0.7479801559177888
8,5,trait,,State_LDA,0.18072916666666666,0.087828367895664,0.061919066972963344
8,5,trait,,Joint_LDA,0.78046875,0.7767138010753548,0.7479890861415258
8,6,trait,,Raw,0.8046875,0.8036060357714087,0.7750301140792177
8,6,trait,,Trait_LDA,0.7768229166666667,0.7773637737542762,0.7435343300503082
8,6,trait,,State_LDA,0.23046875,0.13167163718634306,0.1216216216216216
8,6,trait,,Joint_LDA,0.7885416666666667,0.7894135686448251,0.7570239149689991
8,7,trait,,Raw,0.77734375,0.7743428245496127,0.7455357142857143
8,7,trait,,Trait_LDA,0.80078125,0.7959588136783039,0.7723214285714286
8,7,trait,,State_LDA,0.1875,0.07815550462609286,0.0714285714285714
8,7,trait,,Joint_LDA,0.78125,0.7764133589041677,0.75
8,8,trait,,Raw,0.8533854166666667,0.8539282086349105,0.8321874662539146
8,8,trait,,Trait_LDA,0.8536458333333333,0.8549532381838291,0.8321935065869988
8,8,trait,,State_LDA,0.16067708333333333,0.08796395114207806,0.03958580519900767
8,8,trait,,Joint_LDA,0.8377604166666667,0.8391502320581288,0.8140388768898488
8,9,trait,,Raw,0.88828125,0.8890742536799048,0.8729930160558715
8,9,trait,,Trait_LDA,0.8684895833333334,0.8703208617964001,0.8502970297029703
8,9,trait,,State_LDA,0.16927083333333331,0.08487416054729177,0.04757469370208489
8,9,trait,,Joint_LDA,0.8596354166666667,0.8610298530985017,0.8412069710499783
all,0,trait,,Raw,0.7373511904761906,0.7313511262316403,0.7162117868146756
all,0,trait,,Trait_LDA,0.7305059523809525,0.7264919121680452,0.7089319857962305
all,0,trait,,State_LDA,0.09657738095238096,0.04158502238682553,0.024936242561632183
all,0,trait,,Joint_LDA,0.7147321428571428,0.7016732626502888,0.6919597495820906
10,0,within_state,1.0,Raw,0.8125,0.8117647058823529,0.625
10,0,within_state,1.0,Trait_LDA,0.8125,0.8117647058823529,0.625
10,0,within_state,1.0,State_LDA,0.78125,0.7810361681329423,0.5625
10,0,within_state,1.0,Joint_LDA,0.78125,0.7810361681329423,0.5625
10,0,within_state,10.0,Raw,0.46875,0.464039408866995,-0.0625
10,0,within_state,10.0,Trait_LDA,0.46875,0.464039408866995,-0.0625
10,0,within_state,10.0,State_LDA,0.46875,0.464039408866995,-0.0625
10,0,within_state,10.0,Joint_LDA,0.46875,0.464039408866995,-0.0625
10,0,within_state,11.0,Raw,0.625,0.6235294117647059,0.25
10,0,within_state,11.0,Trait_LDA,0.625,0.6235294117647059,0.25
10,0,within_state,11.0,State_LDA,0.625,0.6235294117647059,0.25
10,0,within_state,11.0,Joint_LDA,0.625,0.6235294117647059,0.25
10,0,within_state,12.0,Raw,0.5,0.4994438264738599,0.0
10,0,within_state,12.0,Trait_LDA,0.5,0.4994438264738599,0.0
10,0,within_state,12.0,State_LDA,0.5,0.4994438264738599,0.0
10,0,within_state,12.0,Joint_LDA,0.5,0.4994438264738599,0.0
10,0,within_state,13.0,Raw,0.53125,0.5270935960591133,0.0625
10,0,within_state,13.0,Trait_LDA,0.53125,0.5270935960591133,0.0625
10,0,within_state,13.0,State_LDA,0.5,0.4920634920634921,0.0
10,0,within_state,13.0,Joint_LDA,0.5,0.4920634920634921,0.0
10,0,within_state,2.0,Raw,0.75,0.7490196078431373,0.5
10,0,within_state,2.0,Trait_LDA,0.75,0.7490196078431373,0.5
10,0,within_state,2.0,State_LDA,0.75,0.75,0.5
10,0,within_state,2.0,Joint_LDA,0.75,0.75,0.5
10,0,within_state,4.0,Raw,0.75,0.7490196078431373,0.5
10,0,within_state,4.0,Trait_LDA,0.75,0.7490196078431373,0.5
10,0,within_state,4.0,State_LDA,0.71875,0.716256157635468,0.4375
10,0,within_state,4.0,Joint_LDA,0.71875,0.716256157635468,0.4375
10,0,within_state,5.0,Raw,0.40625,0.3913913913913914,-0.1875
10,0,within_state,5.0,Trait_LDA,0.40625,0.3913913913913914,-0.1875
10,0,within_state,5.0,State_LDA,0.375,0.3522267206477733,-0.25
10,0,within_state,5.0,Joint_LDA,0.375,0.3522267206477733,-0.25
10,0,within_state,6.0,Raw,0.46875,0.4682306940371457,-0.0625
10,0,within_state,6.0,Trait_LDA,0.46875,0.4682306940371457,-0.0625
10,0,within_state,6.0,State_LDA,0.5,0.5,0.0
10,0,within_state,6.0,Joint_LDA,0.5,0.5,0.0
10,0,within_state,7.0,Raw,0.6875,0.6761133603238867,0.375
10,0,within_state,7.0,Trait_LDA,0.6875,0.6761133603238867,0.375
10,0,within_state,7.0,State_LDA,0.71875,0.7117117117117118,0.4375
10,0,within_state,7.0,Joint_LDA,0.71875,0.7117117117117118,0.4375
10,1,within_state,1.0,Raw,0.875,0.875,0.75
10,1,within_state,1.0,Trait_LDA,0.875,0.875,0.75
10,1,within_state,1.0,State_LDA,0.8125,0.8125,0.625
10,1,within_state,1.0,Joint_LDA,0.8125,0.8125,0.625
10,1,within_state,11.0,Raw,0.6875,0.6862745098039216,0.375
10,1,within_state,11.0,Trait_LDA,0.6875,0.6862745098039216,0.375
10,1,within_state,11.0,State_LDA,0.65625,0.6532019704433498,0.3125
10,1,within_state,11.0,Joint_LDA,0.65625,0.6532019704433498,0.3125
10,1,within_state,12.0,Raw,0.5,0.4994438264738599,0.0
10,1,within_state,12.0,Trait_LDA,0.5,0.4994438264738599,0.0
10,1,within_state,12.0,State_LDA,0.4666666666666667,0.4642857142857143,-0.06666666666666665
10,1,within_state,12.0,Joint_LDA,0.4666666666666667,0.4642857142857143,-0.06666666666666665
10,1,within_state,14.0,Raw,0.5625,0.5607843137254902,0.125
10,1,within_state,14.0,Trait_LDA,0.5625,0.5607843137254902,0.125
10,1,within_state,14.0,State_LDA,0.59375,0.5933528836754643,0.1875
10,1,within_state,14.0,Joint_LDA,0.59375,0.5933528836754643,0.1875
10,1,within_state,2.0,Raw,0.875,0.873015873015873,0.75
10,1,within_state,2.0,Trait_LDA,0.875,0.873015873015873,0.75
10,1,within_state,2.0,State_LDA,0.84375,0.8423645320197044,0.6875
10,1,within_state,2.0,Joint_LDA,0.84375,0.8423645320197044,0.6875
10,1,within_state,4.0,Raw,0.75,0.7490196078431373,0.5
10,1,within_state,4.0,Trait_LDA,0.75,0.7490196078431373,0.5
10,1,within_state,4.0,State_LDA,0.71875,0.718475073313783,0.4375
10,1,within_state,4.0,Joint_LDA,0.71875,0.718475073313783,0.4375
10,1,within_state,5.0,Raw,0.5,0.4980392156862745,0.0
10,1,within_state,5.0,Trait_LDA,0.5,0.4980392156862745,0.0
10,1,within_state,5.0,State_LDA,0.5,0.4980392156862745,0.0
10,1,within_state,5.0,Joint_LDA,0.5,0.4980392156862745,0.0
10,1,within_state,6.0,Raw,0.53125,0.5270935960591133,0.0625
10,1,within_state,6.0,Trait_LDA,0.53125,0.5270935960591133,0.0625
10,1,within_state,6.0,State_LDA,0.5625,0.5607843137254902,0.125
10,1,within_state,6.0,Joint_LDA,0.5625,0.5607843137254902,0.125
10,1,within_state,7.0,Raw,0.5625,0.5607843137254902,0.125
10,1,within_state,7.0,Trait_LDA,0.5625,0.5607843137254902,0.125
10,1,within_state,7.0,State_LDA,0.625,0.625,0.25
10,1,within_state,7.0,Joint_LDA,0.625,0.625,0.25
10,1,within_state,8.0,Raw,0.5,0.4980392156862745,0.0
10,1,within_state,8.0,Trait_LDA,0.5,0.4980392156862745,0.0
10,1,within_state,8.0,State_LDA,0.53125,0.5270935960591133,0.0625
10,1,within_state,8.0,Joint_LDA,0.53125,0.5270935960591133,0.0625
10,2,within_state,1.0,Raw,0.84375,0.8435972629521017,0.6875
10,2,within_state,1.0,Trait_LDA,0.84375,0.8435972629521017,0.6875
10,2,within_state,1.0,State_LDA,0.84375,0.8435972629521017,0.6875
10,2,within_state,1.0,Joint_LDA,0.84375,0.8435972629521017,0.6875
10,2,within_state,11.0,Raw,0.6875,0.6875,0.375
10,2,within_state,11.0,Trait_LDA,0.6875,0.6875,0.375
10,2,within_state,11.0,State_LDA,0.65625,0.6559139784946236,0.3125
10,2,within_state,11.0,Joint_LDA,0.65625,0.6559139784946236,0.3125
10,2,within_state,12.0,Raw,0.43333333333333335,0.4276094276094276,-0.1333333333333333
10,2,within_state,12.0,Trait_LDA,0.43333333333333335,0.4276094276094276,-0.1333333333333333
10,2,within_state,12.0,State_LDA,0.43333333333333335,0.4276094276094276,-0.1333333333333333
10,2,within_state,12.0,Joint_LDA,0.43333333333333335,0.4276094276094276,-0.1333333333333333
10,2,within_state,13.0,Raw,0.5625,0.5625,0.125
10,2,within_state,13.0,Trait_LDA,0.5625,0.5625,0.125
10,2,within_state,13.0,State_LDA,0.5625,0.5625,0.125
10,2,within_state,13.0,Joint_LDA,0.5625,0.5625,0.125
10,2,within_state,14.0,Raw,0.5625,0.5607843137254902,0.125
10,2,within_state,14.0,Trait_LDA,0.5625,0.5607843137254902,0.125
10,2,within_state,14.0,State_LDA,0.59375,0.5933528836754643,0.1875
10,2,within_state,14.0,Joint_LDA,0.59375,0.5933528836754643,0.1875
10,2,within_state,2.0,Raw,0.78125,0.7810361681329423,0.5625
10,2,within_state,2.0,Trait_LDA,0.78125,0.7810361681329423,0.5625
10,2,within_state,2.0,State_LDA,0.78125,0.7810361681329423,0.5625
10,2,within_state,2.0,Joint_LDA,0.78125,0.7810361681329423,0.5625
10,2,within_state,4.0,Raw,0.6875,0.6666666666666667,0.375
10,2,within_state,4.0,Trait_LDA,0.6875,0.6666666666666667,0.375
10,2,within_state,4.0,State_LDA,0.71875,0.694591728525981,0.4375
10,2,within_state,4.0,Joint_LDA,0.71875,0.694591728525981,0.4375
10,2,within_state,6.0,Raw,0.4375,0.4285714285714286,-0.125
10,2,within_state,6.0,Trait_LDA,0.4375,0.4285714285714286,-0.125
10,2,within_state,6.0,State_LDA,0.40625,0.4009852216748768,-0.1875
10,2,within_state,6.0,Joint_LDA,0.40625,0.4009852216748768,-0.1875
10,2,within_state,7.0,Raw,0.46875,0.45545545545545546,-0.0625
10,2,within_state,7.0,Trait_LDA,0.46875,0.45545545545545546,-0.0625
10,2,within_state,7.0,State_LDA,0.46875,0.45545545545545546,-0.0625
10,2,within_state,7.0,Joint_LDA,0.46875,0.45545545545545546,-0.0625
10,2,within_state,9.0,Raw,0.8,0.8,0.6
10,2,within_state,9.0,Trait_LDA,0.8,0.8,0.6
10,2,within_state,9.0,State_LDA,0.8666666666666667,0.8666666666666667,0.7333333333333334
10,2,within_state,9.0,Joint_LDA,0.8666666666666667,0.8666666666666667,0.7333333333333334
10,3,within_state,12.0,Raw,0.3666666666666667,0.3602693602693603,-0.2666666666666666
10,3,within_state,12.0,Trait_LDA,0.3666666666666667,0.3602693602693603,-0.2666666666666666
10,3,within_state,12.0,State_LDA,0.3666666666666667,0.3602693602693603,-0.2666666666666666
10,3,within_state,12.0,Joint_LDA,0.3666666666666667,0.3602693602693603,-0.2666666666666666
10,3,within_state,13.0,Raw,0.34375,0.343108504398827,-0.3125
10,3,within_state,13.0,Trait_LDA,0.34375,0.343108504398827,-0.3125
10,3,within_state,13.0,State_LDA,0.375,0.375,-0.25
10,3,within_state,13.0,Joint_LDA,0.375,0.375,-0.25
10,3,within_state,14.0,Raw,0.5625,0.5607843137254902,0.125
10,3,within_state,14.0,Trait_LDA,0.5625,0.5607843137254902,0.125
10,3,within_state,14.0,State_LDA,0.53125,0.5270935960591133,0.0625
10,3,within_state,14.0,Joint_LDA,0.53125,0.5270935960591133,0.0625
10,3,within_state,3.0,Raw,0.6875,0.6875,0.375
10,3,within_state,3.0,Trait_LDA,0.6875,0.6875,0.375
10,3,within_state,3.0,State_LDA,0.75,0.75,0.5
10,3,within_state,3.0,Joint_LDA,0.75,0.75,0.5
10,3,within_state,4.0,Raw,0.71875,0.718475073313783,0.4375
10,3,within_state,4.0,Trait_LDA,0.71875,0.718475073313783,0.4375
10,3,within_state,4.0,State_LDA,0.65625,0.6559139784946236,0.3125
10,3,within_state,4.0,Joint_LDA,0.65625,0.6559139784946236,0.3125
