pca_dim,lda_dim,val_bal_acc
5,1,0.13914479380268854
5,2,0.2350852889800258
5,3,0.2956597744360902
5,4,0.3418620794410268
5,5,0.37103290423027263
5,6,0.37103290423027263
5,7,0.37103290423027263
5,8,0.37103290423027263
5,9,0.37103290423027263
5,10,0.37103290423027263
5,11,0.37103290423027263
5,12,0.37103290423027263
5,13,0.37103290423027263
5,14,0.37103290423027263
5,15,0.37103290423027263
5,16,0.37103290423027263
5,17,0.37103290423027263
5,18,0.37103290423027263
5,19,0.37103290423027263
5,20,0.37103290423027263
15,1,0.15196132376395535
15,2,0.25902396141869827
15,3,0.3659771967798284
15,4,0.42980616313511044
15,5,0.4764809182046024
15,6,0.5069891395154553
15,7,0.5248132262474368
15,8,0.5346968557758032
15,9,0.5437369370395686
15,10,0.5542988721804512
15,11,0.552075871496924
15,12,0.5562482911825016
15,13,0.5533853953064479
15,14,0.5559916837548416
15,15,0.5581508506113769
15,16,0.5581508506113769
15,17,0.5581508506113769
15,18,0.5581508506113769
15,19,0.5581508506113769
15,20,0.5581508506113769
25,1,0.15196132376395535
25,2,0.25902396141869827
25,3,0.3659771967798284
25,4,0.42980616313511044
25,5,0.4764809182046024
25,6,0.5069891395154553
25,7,0.5248132262474368
25,8,0.5346968557758032
25,9,0.5437369370395686
25,10,0.5542988721804512
25,11,0.552075871496924
25,12,0.5562482911825016
25,13,0.5533853953064479
25,14,0.5559916837548416
25,15,0.5581508506113769
25,16,0.5581508506113769
25,17,0.5581508506113769
25,18,0.5581508506113769
25,19,0.5581508506113769
25,20,0.5581508506113769
