pca_dim,lda_dim,val_bal_acc
5,1,0.023206018518518518
5,2,0.027655983138099808
5,3,0.03310817921351366
5,4,0.03509399008141268
5,5,0.03500500019182804
5,6,0.03500500019182804
5,7,0.03500500019182804
5,8,0.03500500019182804
5,9,0.03500500019182804
5,10,0.03500500019182804
5,11,0.03500500019182804
5,12,0.03500500019182804
5,13,0.03500500019182804
5,14,0.03500500019182804
5,15,0.03500500019182804
5,16,0.03500500019182804
5,17,0.03500500019182804
5,18,0.03500500019182804
5,19,0.03500500019182804
5,20,0.03500500019182804
15,1,0.022773390333120248
15,2,0.029784646509532452
15,3,0.03846114374034164
15,4,0.05094468220563014
15,5,0.05218735163358962
15,6,0.05928501768819718
15,7,0.062226048982098346
15,8,0.0607090069200017
15,9,0.0684405306591941
15,10,0.0746412779302424
15,11,0.0771472061959067
15,12,0.07696289073692529
15,13,0.07498948414348855
15,14,0.07504392208517799
15,15,0.07296971552435338
15,16,0.07296971552435338
15,17,0.07296971552435338
15,18,0.07296971552435338
15,19,0.07296971552435338
15,20,0.07296971552435338
25,1,0.02332259422068164
25,2,0.03686801656519149
25,3,0.042752939485107076
25,4,0.04881507893973267
25,5,0.06232174752115277
25,6,0.06320791982913133
25,7,0.06169068427348123
25,8,0.06774842038381838
25,9,0.06639307218936924
25,10,0.06616340661756785
25,11,0.07289295173313219
25,12,0.07453068797093769
25,13,0.07355323011460986
25,14,0.07785217637878751
25,15,0.0777266236214012
25,16,0.0833996826590419
25,17,0.07568700017091944
25,18,0.07660970962920205
25,19,0.07767477615708633
25,20,0.07595195063929787
