pca_dim,lda_dim,val_bal_acc,seed,num_subjects
5,1,0.07619825708061002,0,20
5,2,0.10383259098429376,0,20
5,3,0.12401855425849234,0,20
5,4,0.13360023089512252,0,20
5,5,0.1806246499744952,0,20
5,6,0.1806246499744952,0,20
5,7,0.1806246499744952,0,20
5,8,0.1806246499744952,0,20
5,9,0.1806246499744952,0,20
5,10,0.1806246499744952,0,20
5,11,0.1806246499744952,0,20
5,12,0.1806246499744952,0,20
5,13,0.1806246499744952,0,20
5,14,0.1806246499744952,0,20
5,15,0.1806246499744952,0,20
5,16,0.1806246499744952,0,20
5,17,0.1806246499744952,0,20
5,18,0.1806246499744952,0,20
5,19,0.1806246499744952,0,20
5,20,0.1806246499744952,0,20
15,1,0.07080220977279801,0,20
15,2,0.12607046712890366,0,20
15,3,0.18078289250309376,0,20
15,4,0.22158142997926275,0,20
15,5,0.24498177483278102,0,20
15,6,0.2668874445557882,0,20
15,7,0.2823947133447907,0,20
15,8,0.2976438574039193,0,20
15,9,0.31744915251300704,0,20
15,10,0.3297234320976581,0,20
15,11,0.3469935849753962,0,20
15,12,0.34733909780736405,0,20
15,13,0.354156625323421,0,20
15,14,0.3545480376033782,0,20
15,15,0.36609082824640105,0,20
15,16,0.36609082824640105,0,20
15,17,0.36609082824640105,0,20
15,18,0.36609082824640105,0,20
15,19,0.36609082824640105,0,20
15,20,0.36609082824640105,0,20
25,1,0.06356495814700149,0,20
25,2,0.1289832749952719,0,20
25,3,0.18187376306184358,0,20
25,4,0.22885486238620914,0,20
25,5,0.2709150922463616,0,20
25,6,0.31773012820226443,0,20
25,7,0.3340552551020817,0,20
25,8,0.34045156576309826,0,20
25,9,0.3563077428963652,0,20
25,10,0.38091627126456845,0,20
25,11,0.3845505973214951,0,20
25,12,0.38556263553554576,0,20
25,13,0.39050031359822385,0,20
25,14,0.3855745998354358,0,20
25,15,0.38874709712945005,0,20
25,16,0.3926749355019479,0,20
25,17,0.387938352497176,0,20
25,18,0.40085079422927716,0,20
25,19,0.3871991915606467,0,20
