pca_dim,lda_dim,val_bal_acc
5,1,0.04380236339688231
5,2,0.06454430070025026
5,3,0.07564468075685894
5,4,0.09513367724270853
5,5,0.107016368014209
5,6,0.107016368014209
5,7,0.107016368014209
5,8,0.107016368014209
5,9,0.107016368014209
5,10,0.107016368014209
5,11,0.107016368014209
5,12,0.107016368014209
5,13,0.107016368014209
5,14,0.107016368014209
5,15,0.107016368014209
5,16,0.107016368014209
5,17,0.107016368014209
5,18,0.107016368014209
5,19,0.107016368014209
5,20,0.107016368014209
15,1,0.04037705417654905
15,2,0.06010546608609588
15,3,0.0917536083318428
15,4,0.11406263562447366
15,5,0.1522577239766522
15,6,0.18055166350903273
15,7,0.2009340360565511
15,8,0.2092812913829392
15,9,0.22808646415737624
15,10,0.24361093054978503
15,11,0.25111940735540417
15,12,0.2615065025454874
15,13,0.2754547754725977
15,14,0.282625307638547
15,15,0.28958505636799187
15,16,0.28958505636799187
15,17,0.28958505636799187
15,18,0.28958505636799187
15,19,0.28958505636799187
15,20,0.28958505636799187
25,1,0.04023089306513618
25,2,0.07168501594294939
25,3,0.10980787042915323
25,4,0.12592562979789027
25,5,0.1686512017017557
25,6,0.19726836610136678
25,7,0.21830470508977926
25,8,0.2346693234868952
25,9,0.25190796904251156
25,10,0.2616380844546072
25,11,0.27478113970547163
25,12,0.2878745540721568
25,13,0.29775897415903735
25,14,0.3098202619484903
25,15,0.31516019840552384
25,16,0.3169532401997877
25,17,0.32397395312398564
25,18,0.3283225022142144
25,19,0.33171342267500814
25,20,0.33904957057046836
