num_subjects,seed,split_type,space,hier_ratio,inter,intra,hier_pval
10,0,trait,autoencoder,2.8908248,3.2465801,1.1230636,0.0
10,1,trait,autoencoder,2.8053474,4.3885627,1.5643562,0.0
10,2,trait,autoencoder,2.132614,4.1739106,1.9571806,0.0
10,3,trait,autoencoder,2.680172,9.97279,3.7209516,0.0
10,4,trait,autoencoder,2.6606567,10.755967,4.0425987,0.0
10,5,trait,autoencoder,2.3093293,5.9287577,2.5673072,0.0
10,6,trait,autoencoder,3.2883806,4.265902,1.2972653,0.0
10,7,trait,autoencoder,2.1862075,5.290334,2.4198682,0.0
10,8,trait,autoencoder,1.6393346,1.9387017,1.182615,0.0
10,9,trait,autoencoder,3.1072943,3.9778643,1.2801697,0.0
4,0,trait,autoencoder,3.1831117,4.061532,1.2759628,0.0
4,1,trait,autoencoder,3.7126327,21.609104,5.820426,0.0
4,2,trait,autoencoder,2.0032773,6.538947,3.2641246,0.0
4,3,trait,autoencoder,1.3265951,1.9276358,1.4530702,0.0
4,4,trait,autoencoder,3.5951605,9.931783,2.7625422,0.0
4,5,trait,autoencoder,1.9664543,2.8995557,1.4745096,0.0
4,6,trait,autoencoder,1.4726167,0.83896977,0.5697136,0.0
4,7,trait,autoencoder,2.5743499,5.4845433,2.1304576,0.0
4,8,trait,autoencoder,2.3876164,9.891495,4.1428323,0.0
4,9,trait,autoencoder,4.529378,14.51123,3.203802,0.0
8,0,trait,autoencoder,2.6185954,3.969554,1.5159097,0.0
8,1,trait,autoencoder,3.316997,8.347228,2.5165014,0.0
8,2,trait,autoencoder,1.9307936,5.505522,2.8514295,0.0
8,3,trait,autoencoder,2.8508706,6.2793508,2.202608,0.0
8,4,trait,autoencoder,2.8391669,8.471164,2.9836793,0.0
8,5,trait,autoencoder,1.876761,5.5680146,2.9668214,0.0
8,6,trait,autoencoder,2.8493905,7.285512,2.556867,0.0
8,7,trait,autoencoder,2.3934007,3.466754,1.4484637,0.0
8,8,trait,autoencoder,1.9341154,1.8673909,0.96550125,0.0
8,9,trait,autoencoder,2.3227506,3.0785503,1.32539,0.0
