num_subjects,seed,split_type,subject,space,Bal_Acc,F1,Kappa
10,0,trait,,Raw,0.9962500000000001,0.9962435328752169,0.9958333333333333
10,0,trait,,Trait_LDA,0.9962500000000001,0.9962377817270414,0.9958333333333333
10,0,trait,,State_LDA,0.141875,0.09008730240587969,0.046527777777777724
10,0,trait,,Joint_LDA,0.9974999999999999,0.9974938581657795,0.9972222222222222
10,1,trait,,Raw,0.9487500000000001,0.9445224877516678,0.9430555555555555
10,1,trait,,Trait_LDA,0.9506249999999999,0.9470275998658881,0.9451388888888889
10,1,trait,,State_LDA,0.153125,0.09635126801415973,0.05902777777777779
10,1,trait,,Joint_LDA,0.943125,0.9393532315792799,0.9368055555555556
10,2,trait,,Raw,0.9493750000000001,0.9461536857959594,0.94375
10,2,trait,,Trait_LDA,0.9487500000000001,0.9455286796923842,0.9430555555555555
10,2,trait,,State_LDA,0.14125000000000001,0.09449888111916076,0.04583333333333328
10,2,trait,,Joint_LDA,0.9487499999999999,0.9455394665865808,0.9430555555555555
10,3,trait,,Raw,0.9487500000000001,0.9454166178366341,0.9430555555555555
10,3,trait,,Trait_LDA,0.94625,0.941526407376277,0.9402777777777778
10,3,trait,,State_LDA,0.11875,0.07998854146666234,0.02083333333333348
10,3,trait,,Joint_LDA,0.9275,0.921945818216433,0.9194444444444444
10,4,trait,,Raw,0.945,0.9416564305682902,0.9388888888888889
10,4,trait,,Trait_LDA,0.945,0.9416662210470141,0.9388888888888889
10,4,trait,,State_LDA,0.121875,0.0770568361254221,0.02430555555555569
10,4,trait,,Joint_LDA,0.931875,0.9284570258072243,0.9243055555555556
10,5,trait,,Raw,0.9887499999999999,0.9887270780006198,0.9875
10,5,trait,,Trait_LDA,0.9974999999999999,0.9974998290870177,0.9972222222222222
10,5,trait,,State_LDA,0.1375,0.07841109384009684,0.04166666666666663
10,5,trait,,Joint_LDA,0.983125,0.9830713894465746,0.98125
10,6,trait,,Raw,0.94625,0.9429083584846415,0.9402777777777778
10,6,trait,,Trait_LDA,0.943125,0.9397886952147992,0.9368055555555556
10,6,trait,,State_LDA,0.109375,0.08017886336580818,0.01041666666666663
10,6,trait,,Joint_LDA,0.9418749999999999,0.938531549499514,0.9354166666666667
