pca_dim,lda_dim,val_bal_acc,seed,num_subjects
5,1,0.061531546223327044,0,all
5,2,0.15309459015938204,0,all
5,3,0.21402643166144356,0,all
5,4,0.24447372967773082,0,all
5,5,0.27816589436168315,0,all
5,6,0.27816589436168315,0,all
5,7,0.27816589436168315,0,all
5,8,0.27816589436168315,0,all
5,9,0.27816589436168315,0,all
5,10,0.27816589436168315,0,all
5,11,0.27816589436168315,0,all
5,12,0.27816589436168315,0,all
5,13,0.27816589436168315,0,all
5,14,0.27816589436168315,0,all
5,15,0.27816589436168315,0,all
5,16,0.27816589436168315,0,all
5,17,0.27816589436168315,0,all
5,18,0.27816589436168315,0,all
5,19,0.27816589436168315,0,all
5,20,0.27816589436168315,0,all
15,1,0.06520262271403825,0,all
15,2,0.15054701591895758,0,all
15,3,0.2590522003470556,0,all
15,4,0.43704762325144997,0,all
15,5,0.6102487883909342,0,all
15,6,0.6701870817210919,0,all
15,7,0.731723489124172,0,all
15,8,0.7595457533473587,0,all
15,9,0.7854441388542188,0,all
15,10,0.8177983543033646,0,all
15,11,0.8270967993486243,0,all
15,12,0.8343266568452785,0,all
15,13,0.8320703367998067,0,all
15,14,0.8318620132201401,0,all
15,15,0.834761603977606,0,all
15,16,0.834761603977606,0,all
15,17,0.834761603977606,0,all
15,18,0.834761603977606,0,all
15,19,0.834761603977606,0,all
15,20,0.834761603977606,0,all
25,1,0.07142661430332664,0,all
25,2,0.20392100326087725,0,all
25,3,0.25373637746897854,0,all
25,4,0.3145900969784523,0,all
25,5,0.3564193767681266,0,all
25,6,0.4722212215209807,0,all
25,7,0.5691225002534992,0,all
25,8,0.7276521277645092,0,all
25,9,0.7592333592365814,0,all
25,10,0.7737362742363022,0,all
25,11,0.7929147611538788,0,all
25,12,0.8120495193126547,0,all
25,13,0.8167886706530364,0,all
25,14,0.8611030890667358,0,all
25,15,0.8717210429594621,0,all
25,16,0.8768797770811673,0,all
25,17,0.8809268041120463,0,all
25,18,0.8846176721874482,0,all
25,19,0.8844097254181903,0,all
25,20,0.8859374636468417,0,all
