pca_dim,lda_dim,val_bal_acc,seed,num_subjects
5,1,0.02031425364758698,0,20
5,2,0.04548260381593714,0,20
5,3,0.07881593714927049,0,20
5,4,0.1100448933782267,0,20
5,5,0.13754208754208755,0,20
5,6,0.13754208754208755,0,20
5,7,0.13754208754208755,0,20
5,8,0.13754208754208755,0,20
5,9,0.13754208754208755,0,20
5,10,0.13754208754208755,0,20
5,11,0.13754208754208755,0,20
5,12,0.13754208754208755,0,20
5,13,0.13754208754208755,0,20
5,14,0.13754208754208755,0,20
5,15,0.13754208754208755,0,20
5,16,0.13754208754208755,0,20
5,17,0.13754208754208755,0,20
5,18,0.13754208754208755,0,20
5,19,0.13754208754208755,0,20
5,20,0.13754208754208755,0,20
15,1,0.019304152637485972,0,20
15,2,0.03801907968574635,0,20
15,3,0.06327160493827161,0,20
15,4,0.08888888888888889,0,20
15,5,0.11192480359147026,0,20
15,6,0.1430415263748597,0,20
15,7,0.1702861952861953,0,20
15,8,0.19870931537598205,0,20
15,9,0.20833333333333337,0,20
15,10,0.22749719416386083,0,20
15,11,0.24172278338945005,0,20
15,12,0.26293490460157126,0,20
15,13,0.2659652076318743,0,20
15,14,0.26719977553310886,0,20
15,15,0.2643658810325477,0,20
15,16,0.2643658810325477,0,20
15,17,0.2643658810325477,0,20
15,18,0.2643658810325477,0,20
15,19,0.2643658810325477,0,20
15,20,0.2643658810325477,0,20
25,1,0.018069584736251403,0,20
25,2,0.03860830527497194,0,20
25,3,0.062177328843995516,0,20
25,4,0.085662177328844,0,20
25,5,0.11543209876543209,0,20
25,6,0.13644781144781146,0,20
25,7,0.16010101010101008,0,20
25,8,0.18827160493827164,0,20
25,9,0.20235690235690237,0,20
25,10,0.2191919191919192,0,20
25,11,0.23150953984287317,0,20
25,12,0.23832772166105498,0,20
25,13,0.25039281705948374,0,20
25,14,0.26506734006734006,0,20
25,15,0.27850729517396183,0,20
25,16,0.2839506172839506,0,20
25,17,0.2972222222222222,0,20
25,18,0.3004208754208754,0,20
25,19,0.29624017957351295,0,20
25,20,0.2984006734006734,0,20
5,1,0.013083333333333336,1,20
5,2,0.041833333333333333,1,20
5,3,0.07738888888888888,1,20
5,4,0.1213611111111111,1,20
5,5,0.1431111111111111,1,20
5,6,0.1431111111111111,1,20
5,7,0.1431111111111111,1,20
5,8,0.1431111111111111,1,20
5,9,0.1431111111111111,1,20
5,10,0.1431111111111111,1,20
5,11,0.1431111111111111,1,20
5,12,0.1431111111111111,1,20
5,13,0.1431111111111111,1,20
5,14,0.1431111111111111,1,20
5,15,0.1431111111111111,1,20
5,16,0.1431111111111111,1,20
5,17,0.1431111111111111,1,20
5,18,0.1431111111111111,1,20
5,19,0.1431111111111111,1,20
5,20,0.1431111111111111,1,20
15,1,0.017666666666666667,1,20
15,2,0.03538888888888889,1,20
15,3,0.06741666666666667,1,20
15,4,0.09163888888888888,1,20
15,5,0.12713888888888888,1,20
15,6,0.17108333333333334,1,20
15,7,0.19972222222222225,1,20
15,8,0.2106388888888889,1,20
15,9,0.23347222222222222,1,20
15,10,0.24180555555555558,1,20
15,11,0.2586111111111111,1,20
15,12,0.2715,1,20
15,13,0.27991666666666665,1,20
15,14,0.28638888888888886,1,20
15,15,0.3012222222222222,1,20
15,16,0.3012222222222222,1,20
15,17,0.3012222222222222,1,20
15,18,0.3012222222222222,1,20
15,19,0.3012222222222222,1,20
15,20,0.3012222222222222,1,20
25,1,0.015666666666666666,1,20
25,2,0.03219444444444444,1,20
25,3,0.06191666666666667,1,20
25,4,0.09297222222222223,1,20
25,5,0.12205555555555557,1,20
25,6,0.1506111111111111,1,20
25,7,0.1821944444444444,1,20
25,8,0.2061388888888889,1,20
25,9,0.22952777777777778,1,20
25,10,0.237,1,20
25,11,0.24655555555555556,1,20
25,12,0.2600277777777778,1,20
25,13,0.26641666666666663,1,20
25,14,0.2776111111111111,1,20
25,15,0.2792777777777778,1,20
25,16,0.2826944444444444,1,20
25,17,0.28391666666666665,1,20
25,18,0.29597222222222225,1,20
25,19,0.29891666666666666,1,20
25,20,0.30574999999999997,1,20
5,1,0.01902777777777778,2,20
5,2,0.046444444444444434,2,20
5,3,0.0815,2,20
5,4,0.12180555555555556,2,20
5,5,0.15630555555555556,2,20
5,6,0.15630555555555556,2,20
5,7,0.15630555555555556,2,20
5,8,0.15630555555555556,2,20
5,9,0.15630555555555556,2,20
5,10,0.15630555555555556,2,20
5,11,0.15630555555555556,2,20
5,12,0.15630555555555556,2,20
5,13,0.15630555555555556,2,20
5,14,0.15630555555555556,2,20
5,15,0.15630555555555556,2,20
5,16,0.15630555555555556,2,20
5,17,0.15630555555555556,2,20
5,18,0.15630555555555556,2,20
5,19,0.15630555555555556,2,20
5,20,0.15630555555555556,2,20
