pca_dim,lda_dim,val_bal_acc
5,1,0.14453808922558922
5,2,0.22080179500634042
5,3,0.28405081660763476
5,4,0.33284831540513354
5,5,0.3567571002230093
5,6,0.3567571002230093
5,7,0.3567571002230093
5,8,0.3567571002230093
5,9,0.3567571002230093
5,10,0.3567571002230093
5,11,0.3567571002230093
5,12,0.3567571002230093
5,13,0.3567571002230093
5,14,0.3567571002230093
5,15,0.3567571002230093
5,16,0.3567571002230093
5,17,0.3567571002230093
5,18,0.3567571002230093
5,19,0.3567571002230093
5,20,0.3567571002230093
15,1,0.14195135882635884
15,2,0.22858706108706106
15,3,0.29231939251825617
15,4,0.3672356820368184
15,5,0.41255120195461104
15,6,0.4366764779832962
15,7,0.4568541475359657
15,8,0.46056606377629106
15,9,0.4651879728016092
15,10,0.4690434922821286
15,11,0.4711653603130876
15,12,0.4734428429314793
15,13,0.4721711022563295
15,14,0.4741325320302593
15,15,0.4745727977830251
15,16,0.4745727977830251
15,17,0.4745727977830251
15,18,0.4745727977830251
15,19,0.4745727977830251
15,20,0.4745727977830251
25,1,0.13874473905723905
25,2,0.22357566465521012
25,3,0.286720560584197
25,4,0.36227100550964186
25,5,0.4068606656390747
25,6,0.43514945176876996
25,7,0.44767899503694963
25,8,0.45891360848747215
25,9,0.46788952840089204
25,10,0.47387268245222786
25,11,0.4774289841051204
25,12,0.48819272268135905
25,13,0.4794021382657746
25,14,0.47620869135073673
25,15,0.4813224370326643
25,16,0.47401664097686824
25,17,0.4787874141851415
25,18,0.4808294115396389
25,19,0.48086849282872013
25,20,0.4829787321264594
