num_subjects,seed,split_type,subject,space,Bal_Acc,F1,Kappa
10,0,trait,,Raw,0.9100464550928947,0.9032838674012333,0.9004271047825549
10,0,trait,,Trait_LDA,0.8744901744282549,0.8655434282493106,0.8606577645895153
10,0,trait,,State_LDA,0.18301360049038068,0.13796264912564027,0.08872981521558188
10,0,trait,,Joint_LDA,0.8044420823368192,0.7853855661196804,0.7783736647046
10,1,trait,,Raw,0.952689510393958,0.9532540881331488,0.9487203002888904
10,1,trait,,Trait_LDA,0.9197784852488903,0.9184251732684438,0.9082921975043536
10,1,trait,,State_LDA,0.352769464628801,0.3040613848530315,0.279047749635985
10,1,trait,,Joint_LDA,0.8045583226921943,0.7924073756021798,0.7709059746308786
10,2,trait,,Raw,0.9349036212434102,0.9338512120065353,0.9246183330508585
10,2,trait,,Trait_LDA,0.9015839451612739,0.8964658595493148,0.8869230769230769
10,2,trait,,State_LDA,0.30775233538391433,0.22740516478404932,0.21808801332431182
10,2,trait,,Joint_LDA,0.7715331010452962,0.7436281931588583,0.7441089958063485
10,3,trait,,Raw,0.9574331603743369,0.9587799221597726,0.9540216229060235
10,3,trait,,Trait_LDA,0.9887962752668635,0.9891039993548855,0.9885057471264368
10,3,trait,,State_LDA,0.2840833920117808,0.22922092096286026,0.20447191878413673
10,3,trait,,Joint_LDA,0.9603634468340351,0.9609910031200541,0.9597584616413022
10,4,trait,,Raw,0.894930227857057,0.8995961811946442,0.8882418315181151
10,4,trait,,Trait_LDA,0.8946930057295912,0.9010437331118044,0.8908556071589675
10,4,trait,,State_LDA,0.3296720961964864,0.24533152838127936,0.26791225608978453
10,4,trait,,Joint_LDA,0.8443885067055799,0.8395927137393583,0.8295871224397715
10,5,trait,,Raw,0.9873103490433401,0.9872130614585032,0.9862362191848026
10,5,trait,,Trait_LDA,0.9744124852468884,0.9743424210864424,0.9724711253449627
10,5,trait,,State_LDA,0.3216320008617826,0.2787396725947762,0.23896515740828572
10,5,trait,,Joint_LDA,0.9569989937319846,0.9570959443918083,0.9531989996524678
10,6,trait,,Raw,0.9926461345065996,0.9924192592564364,0.9917471298805649
10,6,trait,,Trait_LDA,0.9375687562958065,0.9340000602121661,0.9285072554517982
10,6,trait,,State_LDA,0.44927180915627646,0.37825996373201665,0.3793951917129438
10,6,trait,,Joint_LDA,0.9159134237469612,0.911179733351933,0.9037735207050257
10,7,trait,,Raw,0.9558817134498627,0.9552539958757817,0.9512861605725131
10,7,trait,,Trait_LDA,0.9566180074788397,0.9549861425336846,0.9512955127779131
10,7,trait,,State_LDA,0.3590657128986813,0.2987323080878016,0.28004241281809616
10,7,trait,,Joint_LDA,0.9348978415489025,0.9343539315349713,0.92836411706928
10,8,trait,,Raw,0.9783150183150184,0.9783700174954044,0.9768318802980482
10,8,trait,,Trait_LDA,0.9783308583308583,0.978886322361794,0.9768294338597999
10,8,trait,,State_LDA,0.20681540969919737,0.14582387604255476,0.11110445211893305
10,8,trait,,Joint_LDA,0.9626690426690425,0.9625390704150469,0.9594545673947146
10,9,trait,,Raw,0.9312773608505317,0.9284842304421597,0.9229726877166222
10,9,trait,,Trait_LDA,0.8846341463414635,0.8708525416626303,0.870670689760862
10,9,trait,,State_LDA,0.2650320924261874,0.23038032949387036,0.1811237850375116
