pair,mean,std,count
baseline_eyes_closed-task3_real_both_feet,4.394366178089855,11.375746199911518,108
baseline_eyes_open-task3_real_both_feet,3.9715056104222564,6.649271645204187,108
baseline_eyes_closed-task3_real_both_fists,3.5813814431584365,9.062676192531029,108
baseline_eyes_open-task4_imag_both_feet,3.1907836699850267,8.362235234428347,108
baseline_eyes_closed-task2_imag_right_fist,3.041307140116151,8.201116869849626,108
baseline_eyes_closed-task4_imag_both_feet,2.869899382835457,6.947271575890158,108
baseline_eyes_open-task4_imag_both_fists,2.847739042093769,5.3192991955214834,108
baseline_eyes_closed-task4_imag_both_fists,2.827312214480886,6.720562328398767,108
baseline_eyes_closed-task1_real_right_fist,2.772332005735082,4.673932030742145,108
baseline_eyes_closed-task2_imag_left_fist,2.750804666630543,6.822980605704828,108
baseline_eyes_open-task3_real_both_fists,2.740036644002796,2.541634972869534,108
baseline_eyes_closed-task1_real_left_fist,2.6430617024503174,4.868823291514389,108
baseline_eyes_open-task1_real_right_fist,2.3992442273491292,1.5836758797040509,108
baseline_eyes_open-task2_imag_right_fist,2.388338557260011,1.5358646678766366,108
baseline_eyes_open-task1_real_left_fist,2.310140197883478,1.3797794878501852,108
baseline_eyes_open-task2_imag_left_fist,2.200206644090107,1.2240452864246945,108
task2_imag_left_fist-task3_real_both_feet,2.077923509720856,3.6224642631937196,109
task2_imag_right_fist-task3_real_both_feet,2.0313521596711914,3.807114717866512,109
baseline_eyes_closed-baseline_eyes_open,1.916362143478241,2.676870588809781,108
task1_real_left_fist-task3_real_both_feet,1.8846757278453612,2.9961009858377095,109
task3_real_both_fists-task4_imag_both_feet,1.8412145901691008,7.26149849490079,109
task1_real_right_fist-task3_real_both_feet,1.7216980891554312,2.272046315523876,109
task1_real_right_fist-task4_imag_both_feet,1.6114897663993966,4.425975592811052,109
task3_real_both_fists-task4_imag_both_fists,1.5920186052627263,4.600223215887343,109
task1_real_right_fist-task4_imag_both_fists,1.4930293453226697,2.8146913460991834,109
task2_imag_left_fist-task3_real_both_fists,1.4554913916133676,1.4456629372460867,109
task1_real_left_fist-task4_imag_both_feet,1.4188833365341975,2.5093468726748966,109
task2_imag_right_fist-task3_real_both_fists,1.360333025608202,1.3679581701497774,109
task1_real_left_fist-task4_imag_both_fists,1.351504279945426,1.6107545582531142,109
task2_imag_left_fist-task4_imag_both_feet,1.3194384414308837,1.5891984303746085,109
task3_real_both_feet-task4_imag_both_fists,1.2768331317166177,0.7003732167620906,109
task2_imag_left_fist-task4_imag_both_fists,1.2713972316751039,1.0383174761407983,109
task3_real_both_feet-task4_imag_both_feet,1.262334447981817,0.9528344780471727,109
task2_imag_right_fist-task4_imag_both_feet,1.2322947304340164,1.5436203645549025,109
task1_real_left_fist-task3_real_both_fists,1.2286771238006675,0.7639982320263757,109
task1_real_right_fist-task3_real_both_fists,1.1962546836650985,0.5491840468959367,109
task2_imag_right_fist-task4_imag_both_fists,1.1874668626088154,0.9925359275267621,109
task1_real_right_fist-task2_imag_right_fist,1.168284068946003,0.4348802318632763,109
task1_real_left_fist-task2_imag_right_fist,1.159697547550534,0.44651644547502634,109
task3_real_both_feet-task3_real_both_fists,1.1561806026033192,0.44921860516084666,109
task4_imag_both_feet-task4_imag_both_fists,1.129374109558227,0.48613304003712915,109
task1_real_right_fist-task2_imag_left_fist,1.1092688089463045,0.3715338136258604,109
task2_imag_left_fist-task2_imag_right_fist,1.102221462860032,0.30200268841055733,109
task1_real_left_fist-task2_imag_left_fist,1.0883768234994518,0.4424768910431703,109
task1_real_left_fist-task1_real_right_fist,1.0452123144397705,0.3504147566514507,109
