pair,mean,std,count
baseline_eyes_closed-task3_real_both_fists,3.4589329896144996,5.205672577097041,108
baseline_eyes_open-task3_real_both_fists,3.317236744301769,4.682664601829441,108
baseline_eyes_open-task3_real_both_feet,3.2278546093071045,4.465893746911863,108
baseline_eyes_closed-task3_real_both_feet,3.156551878944446,3.7912198326397966,108
baseline_eyes_closed-task1_real_right_fist,2.841288390691898,2.86022863673677,108
baseline_eyes_closed-task1_real_left_fist,2.8103903845851654,2.683603232347152,108
baseline_eyes_open-task1_real_right_fist,2.6900894964984046,2.899583599722286,108
baseline_eyes_closed-task4_imag_both_feet,2.668419294663558,3.062717531002174,108
baseline_eyes_closed-task2_imag_right_fist,2.648793937839087,2.965982573068346,108
baseline_eyes_closed-task4_imag_both_fists,2.6183698346946613,2.651313043182648,108
baseline_eyes_closed-task2_imag_left_fist,2.5908768750039997,2.827541400153868,108
baseline_eyes_open-task4_imag_both_fists,2.474184834614721,1.3536621122218386,108
baseline_eyes_open-task4_imag_both_feet,2.4394780158027776,1.5278620303505,108
baseline_eyes_open-task1_real_left_fist,2.40537102064306,1.4581821887154163,108
baseline_eyes_open-task2_imag_right_fist,2.4028010107500046,1.473912440443712,108
baseline_eyes_open-task2_imag_left_fist,2.315653488169657,1.3912919635677414,108
baseline_eyes_closed-baseline_eyes_open,1.998847316680146,1.4173369557595592,108
task2_imag_left_fist-task3_real_both_feet,1.8518492533049904,2.77277377718268,109
task2_imag_right_fist-task3_real_both_feet,1.7219921703977634,2.6928284841019656,109
task2_imag_left_fist-task3_real_both_fists,1.711337388739487,2.3175529349696027,109
task1_real_left_fist-task3_real_both_feet,1.673800354748511,2.5900391357819466,109
task2_imag_right_fist-task3_real_both_fists,1.6301781090203866,2.4094457393335826,109
task1_real_left_fist-task3_real_both_fists,1.4885823225060748,1.8329719656525794,109
task1_real_right_fist-task3_real_both_feet,1.3987469289966812,1.1359993755826214,109
task3_real_both_feet-task4_imag_both_fists,1.383240957257735,0.905267116458099,109
task1_real_right_fist-task4_imag_both_fists,1.353928820374554,0.8875971353491806,109
task3_real_both_feet-task3_real_both_fists,1.3351353745937655,1.1138640963272783,109
task1_real_left_fist-task4_imag_both_fists,1.3319670114782713,0.7772058244674259,109
task1_real_right_fist-task3_real_both_fists,1.323669987231482,0.7859379668520429,109
task4_imag_both_feet-task4_imag_both_fists,1.2814422531766818,0.965666035897944,109
task1_real_left_fist-task4_imag_both_feet,1.2717051487147737,0.5809548217412502,109
task1_real_right_fist-task4_imag_both_feet,1.2642399160084454,0.5630776904491852,109
task3_real_both_feet-task4_imag_both_feet,1.2610904881162275,0.6800354715073014,109
task2_imag_left_fist-task4_imag_both_fists,1.227303235048159,0.47539416052549643,109
task3_real_both_fists-task4_imag_both_fists,1.2201220666713677,0.5209717935698569,109
task3_real_both_fists-task4_imag_both_feet,1.2047238342538884,0.6149231416841873,109
task2_imag_left_fist-task4_imag_both_feet,1.197195062296962,0.4363383252157804,109
task1_real_left_fist-task2_imag_right_fist,1.19280725564494,0.42393198644029506,109
task2_imag_right_fist-task4_imag_both_fists,1.1869917417705915,0.7760685603221307,109
task1_real_right_fist-task2_imag_right_fist,1.1859770525961106,0.3744584169938925,109
task1_real_left_fist-task1_real_right_fist,1.1791755676934625,1.1150730116036378,109
task1_real_right_fist-task2_imag_left_fist,1.161079979665242,0.47380007620837455,109
task1_real_left_fist-task2_imag_left_fist,1.1333952569317667,0.38351237776340774,109
task2_imag_left_fist-task2_imag_right_fist,1.1124611482975653,0.3452338683610044,109
task2_imag_right_fist-task4_imag_both_feet,1.10320711547182,0.4080022496574511,109
